Surveillance Activity;Year;Year started;has Surveillance Objective;Target Country;Target Pathogen;Susceptible species;has Surveillance purpose;has Surveillance Context;Target host species;Target host sector;applies sampling strategy;has sampling unit;has sampler type;sampling stage;sampled from organism;specimen list downloaded from ontology (EFSA);matrix type;sampled from anatomical entity;specimen from organism type;employes assay;has Diagnostic test type;Number tested;number positive;percentage positive;Total cases;Domestic cases;Imported cases;CRAC 1.1 Motivation / cause;CRAC 1.2. Requirement analysis;CRAC 1.3. Surveillance objective and constraints;CRAC 2.1. Framework design;CRAC 2.2. Variable specifications;CRAC 2.3. Surveillance methods/strategy;CRAC 2.4. Sampling plan;CRAC 2.4.1. Sampled population;CRAC 2.4.2. Sampling schema;CRAC 2.4.3. Sample collection;CRAC 2.4.4. Sample preparation;CRAC 2.4.5. Analytical procedures;CRAC 2.5. Data processing/analysis;CRAC 3.1. Practical aspects on sample selection;CRAC 3.2. Practical support activities;CRAC 3.3. Practical aspects on field and lab work;CRAC 3.4. Practical aspects on information handling;CRAC 4.1. Data integration;CRAC 4.2. Data classification / encoding;CRAC 4.3. Data validation;CRAC 4.4. Data cleansing and correction;CRAC 4.5. New variable/unit derivation;CRAC 4.6. Weighing of records;CRAC 4.7. Data aggregation;CRAC 5.1. Surveillance output generation;CRAC 5.2. Surveillance output validation;CRAC 5.3. Surveillance output statistical analysis;CRAC 5.4. Surveillance disclosure control;surveillance output;discussion
campy_sweden_people_2019;2019;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;6693;2865;3828;"Thermophilic Campylobacter species (spp.) are the most common cause of human bacterial gastroenteritis in many countries. A majority of infections are caused by C. jejuni, followed by C. coli and a few by other Campylobacter spp.
Birds are considered the principal reservoir, although Campylobacter can colonise the intestinal tract of many other animals. The bacterium is excreted in faeces. Campylobacter spp. are fragile organisms but can survive in freshwater for longer periods. The infectious dose for humans is low. Most European countries have a seasonal peak of Campylobacter prevalence in the summer months, both in chickens and humans. Risk factors for infection include consumption or handling of undercooked contaminated meat products (especially poultry), consuming contaminated unpasteurised milk and other dairy products, drinking from contaminated water supplies, travelling abroad and having contact with farm animals and pets.
During the last two decades, the incidence of human campylobacteriosis has varied between 67 and 110 cases per 100000 inhabitants.  Most cases are infected abroad, but in 2014–2018 the proportion of domestic infections increased due to several major outbreaks caused by domestically produced chicken meat.";Infection with Campylobacter is notifiable according to the Communicable Disease Act (SFS 2004:168 with the amendments of SFS 2013:634). A laboratory confirmed case can also include cases with samples that are only positive by PCR i.e. where no isolate has been obtained;;;;;(reporting plan)The surveillance in humans is based on identification of the disease by a physician and/or by laboratory diagnosis (i.e. passive surveillance).  Physicians and laboratories are obliged to report to the regional and national level to enable further analyses and adequate intervention measures.;;;;;Since 2017, the Public Health Agency of Sweden requests isolates from all domestic cases reported during week 11 (low season) and week 34 (high season) for whole genome sequencing analysis. The periods for collection were chosen to reflect the diversity in different seasons. The aims of the typing are to assess the diversity of domestic strains and identify clusters. The long-term goal is to use the data to evaluate efforts to lower the level of domestic incidence of campylobacteriosis attributed to food borne sources.;;;;;;;;;;;;;;;;;"A total of 6693 cases of campylobacteriosis were reported in 2019. Of the reported cases, 44% (2865 cases) were domestic. The incidence in domestic cases decreased by 22% from the year before to 27.4 per 100000 inhabitants. Hence, the domestic incidence is back at the same level as in the first decade of the 2000s and well below the levels in 2014–2018 when several large outbreaks related to consumption of domestically produced chicken affected the incidence (Figure [fig:human-cases]). 
For the domestic cases in 2019, the median age was 47 years with a spread from 0 to 97 years. Like previous years, the domestic incidence was higher among adults than children and more men (56%) than women were reported with campylobacteriosis.
In the microbial surveillance programme at the Public Health Agency of Sweden, isolates from domestic cases were collected one week during low season (week 11) and one in high season (week 34). Of the 137 isolates, all but one was C. jejuni. Twelve clusters were identified that together contained 47% of the isolates. In August, isolates from the microbial surveillance programme and isolates from the survey performed by the Swedish Food Agency were compared by WGS. One third (33%) of the human isolates clustered with isolates from fresh chicken meat, mainly originating from large scale domestic production.";The domestic incidence of campylobacteriosis was lower in 2019 compared with recent years. Most campylobacteriosis cases have been considered sporadic, but cluster analysis of isolates typed with WGS indicates that a large part of the cases could indeed be part of outbreaks. 
campy_sweden_people_2018;2018;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;8132;3645;4487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_people_2017;2017;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;10608;6023;4585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_people_2016;2016;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;11021;6893;4128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_people_2015;2015;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;9180;4709;4471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_people_2014;2014;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;8288;3709;4579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_people_2013;2013;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;8114;3305;4809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_people_2012;2012;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;7902;3155;4747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_people_2011;2011;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;8214;3275;4939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_people_2010;2010;;case detection;Sweden;Campylobacter spp;Homo sapiens;control;Clinical investigations;Homo sapiens;;Suspect sampling;animal;;;;;;;;;Detection;;;;8001;3143;4858;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_food_2019;2019;;;Sweden;Campylobacter spp;;;;;;;;;;;;;;;;;;;;;;;"Thermophilic Campylobacter species (spp.) are the most common cause of human bacterial gastroenteritis in many countries. A majority of infections are caused by C. jejuni, followed by C. coli and a few by other Campylobacter spp.
Birds are considered the principal reservoir, although Campylobacter can colonise the intestinal tract of many other animals. The bacterium is excreted in faeces. Campylobacter spp. are fragile organisms but can survive in freshwater for longer periods. The infectious dose for humans is low. Most European countries have a seasonal peak of Campylobacter prevalence in the summer months, both in chickens and humans. Risk factors for infection include consumption or handling of undercooked contaminated meat products (especially poultry), consuming contaminated unpasteurised milk and other dairy products, drinking from contaminated water supplies, travelling abroad and having contact with farm animals and pets.
During the last two decades, the incidence of human campylobacteriosis has varied between 67 and 110 cases per 100000 inhabitants.  Most cases are infected abroad, but in 2014–2018 the proportion of domestic infections increased due to several major outbreaks caused by domestically produced chicken meat.";Detection of Campylobacter spp. in food is not notifiable. From 2018 and onwards, food business operators at slaughterhouses are obliged to sample neck skins of broilers for analyses of Campylobacter according to regulation (EG) 2073/2005 on microbiological criteria for foodstuffs. As a minimum, the Swedish Food Agency requires that weekly samples are taken from June through September. ;;No official surveillance programme exists for Campylobacter spp. in food. National and local authorities may perform sampling as a part of extended official controls or targeted projects;;;Since 1 January 2018, slaughterhouses are obliged to sample neck skins from poultry carcasses for Campylobacter analyses using a culture-based method (ISO 10272-2 or alternative methods), according to regulation (EC) No. 2073/2005. A limit of 1000 CFU/g applies to a set of 50 pooled samples derived from 10 consecutive sampling sessions. In 2019, the regulation allowed up to 40% of the samples to exceed the limit;;;. A limit of 1000 CFU/g applies to a set of 50 pooled samples derived from 10 consecutive sampling sessions;;culture-based method (ISO 10272-2 or alternative methods),;;;;;;;;;;;;;;;;;"In August 2019, a survey was performed by the Swedish Food Agency in which 100 samples of fresh chicken meat were collected at retail and analysed for Campylobacter. In the survey, Campylobacter was detected in 51% of the samples. Campylobacter levels exceeded 10 CFU/g in 13% of the samples.
In addition, 98 samples were taken by national and local authorities from different types of food. No sample was positive. 51 of the 98 samples were taken from meat from broilers within the framework of a control project.   
Food business operators at five slaughterhouses collected 419 pooled neck skin samples according to regulation (EC) No. 2073/2005. Test results at all slaughterhouses were satisfactory according to the legislation, and only seven (1.7%) of the 419 samples exceeded the limit of 1000 CFU/g. ";the high detection rate of Campylobacter in the survey of retail meat warrants stringent preventive measures. // Sampling of the neck skin for analysis of Campylobacter according to regulation (EC) No. 2073/2005 functioned well in most of the slaughterhouses concerned. The results show that no slaughterhouse in Sweden had any difficulties in meeting the criterion in the regulation, which is set at a level that reflects the much higher prevalence of Campylobacter in broilers in many other EU member states. 
campy_sweden_onehealth_2019;2019;;;Sweden;Campylobacter spp;;;;;;;;;;;;;;;;;;;;;;;In 2017 when the Public Health Agency of Sweden began its microbial surveillance programme for Campylobacter spp, there was a large ongoing outbreak in Sweden caused by domestically produced chicken meat. In conjunction with this, the Swedish Food Agency began to sample and analyse chicken retail meat to investigate occurrence and levels of Campylobacter spp. in meat from different slaughterhouses and to compare meat isolates to isolates from humans using WGS. ;After the outbreak, retail sampling as well as comparison of isolates from humans and chicken meat was repeated each August (high season) three years in a row (2017–2019). ;The aim was to understand the frequency and distribution of clustering isolates from humans and chicken meat in a non-outbreak situation. ;;;;;;PH: In 2017–2019, the analysis of human isolates collected during high season has been preceded by analysis of Campylobacter in chicken meat from retail. AH: Since 2017, all Campylobacter isolates collected during two periods of 2.5 weeks, starting week 8 and week 31, have been subjected to whole genome sequencing (WGS). Those periods were chosen to precede the collection of human domestic isolates.;;;;;;;;;;;;;;;;;;;;A comparison was made between the number of human domestic cases and the proportion of Campylobacter positive chicken slaughter batches during 2019. The comparison shows a clear covariation over the year with the highest number/largest proportion in the summer and the lowest number/smallest proportion in winter and spring // In total, 302 human and 167 chicken retail isolates were sequenced. The human isolates showed a high degree of clustering where 40 to 54% clustered with one or more isolate collected during the same time period. Almost all clusters identified included human isolates from more than one county, indicating geographically dispersed sources of infection. Some isolates also clustered between the sampling years, indicating a reoccurring source of infection. Approximately one third of the human isolates clustered with chicken meat isolates. This pattern was observed in all three sampling periods. The majority of the chicken meat isolates that clustered with human cases originated from the largest poultry slaughterhouse in Sweden. A limited number were from other conventional Swedish, organic or foreign slaughterhouses.;Many of these outbreaks appear genetically linked to isolates from retail poultry meat.// The correlation between human cases of campylobacteriosis and Campylobacter-positive broiler batches further underscores the need for preventive measures. // Reducing Campylobacter prevalence at the farm level decreases the risk of human infection. Over the years, applying strict biosecurity measures has decreased the number of Campylobacter-positive broiler slaughter batches in Sweden. The outbreaks of recent years have demonstrated that failures in the production chain lead to an increase in human illnesses and illustrated the importance of biosecurity measures, not only at farm level but in the whole production chain. In 2019, no such failures were reported.//Broiler carcasses are easily contaminated at slaughter, which necessitates that consumers apply good hygiene practices. Strict hygiene in the kitchen is essential to avoid cross-contamination between contaminated raw meat and food that is ready to eat. // These findings show that campylobacteriosis is not foremost a sporadic disease during high season but constitutes clusters with cases geographically distributed across the country. The clustering strains are often continuously replaced with new, however a few remain over the years. Overall, the comparison of human and retail chicken isolates indicates that if a reduction of Campylobacter in the chicken production is achieved, this will have a direct effect on the number of people who become infected by Campylobacter.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
